id,state.id,state.name,name,domain,active_links,active_since
1,2,Baja California,Uniradio Informa,uniradioinforma.com,,
2,2,Baja California,Ensenada.net,ensenada.net,,
3,2,Baja California,Agencia Fronteriza de Noticias,afntijuana.info,,
4,2,Baja California,El Sol de Tijuana,elsoldetijuana.com.mx,,
5,2,Baja California,El Mexicano,el-mexicano.com.mx,,
6,9,Ciudad de México,Letra Roja,letraroja.com,,
7,9,Ciudad de México,La Prensa,la-prensa.com.mx,,
8,9,Ciudad de México,Grupo Reforma,busquedas.gruporeforma.com,,
9,9,Ciudad de México,Milenio,milenio.com,,
10,9,Ciudad de México,Pásala,pasala.com.mx,,
11,7,Chiapas,Vórtice,vorticemx.com,,
12,8,Chihuahua,Entrelíneas,entrelineas.com.mx,,
13,8,Chihuahua,El Heraldo de Juárez,elheraldodejuarez.com.mx,,
14,8,Chihuahua,La Opción,laopcion.com.mx,,
15,5,Coahuila,El Diario de Coahuila,eldiariodecoahuila,,
16,5,Coahuila,El Siglo de Torreón,elsiglodetorreon,,
17,5,Coahuila,Infórmate Laguna,informatelaguna.com,,
18,6,Colima,Colima Noticias,colimanoticias.com,,
19,15,México,Quadratín Edomex,edomex.quadratin.com.mx,,
20,15,México,Cuestión de Polémica,cuestiondepolemica.com,,
21,11,Guanajuato,Periódico Correo,periodicocorreo.com.mx,,
22,12,Guerrero,Agencia Irza,agenciairza.com,,
23,12,Guerrero,Síntesis de Guerrero,sintesisdeguerrero.com,,
24,12,Guerrero,Digital Guerrero,digitalguerrero.com.mx,,
25,12,Guerrero,Novedades Acapulco,novedadesaca.mx,,
26,13,Hidalgo,Criterio,criteriohidalgo.com,,
27,14,Jalisco,Notisistema,notisistema.com,,
28,14,Jalisco,Jalisco Rojo,jaliscorojo.com,,
29,16,Michoacán,La Voz de Michoacán,lavozdemichoacan.com.mx,,
30,16,Michoacán,Reporte Michoacán,reportemichoacan.com.mx,,
31,17,Morelos,La Unión de Morelos,launion.com.mx,,
32,20,Oaxaca,Oaxaca Día a Día,oaxacadiaadia.com,,
33,21,Puebla,e-consulta,e-consulta.com,,
34,21,Puebla,Puebla Roja,pueblaroja.mx,,
35,23,Quintana Roo,Noticaribe,noticaribe.com.mx,,
36,24,San Luis Potosí,Código San Luis,codigosanluis.com,,
37,24,San Luis Potosí,Pulso,pulsoslp.com.mx,,
38,24,San Luis Potosí,Agencia de Noticias,agenciadenoticiasslp.com,,
39,25,Sinaloa,Línea Directa,lineadirectaportal.com,,
40,25,Sinaloa,El Sol de Sinaloa,elsoldesinaloa.com,,
41,26,Sonora,Opinión Sonora,opinionsonora.com,,
42,27,Tabasco,El Heraldo de Tabasco,elheraldodetabasco.com.mx,,
43,28,Tamaulipas,Valor por Tamaulipas,valorportamaulipas.com.mx,,
44,29,Tlaxcala,e-consulta Tlaxcala,e-tlaxcala.mx,,
45,30,Veracruz,Vanduardia de Veracruz,vanguardiaveracruz.mx,,
46,30,Veracruz,e-consulta Veracruz,e-veracruz.mx,,
47,31,Yucatán,La Verdad,laverdadnoticias.com,,
48,32,Zacatecas,NTR,ntrzacatecas.com,,
49,32,Zacatecas,Zacatecas Online,zacatecasonline.com.mx,,
49,32,Zacatecas,Zacatecas Online,zacatecasonline.com.mx,,
50,32,Zacatecas,El sol de Zacatecas,elsoldezacatecas.com.mx,,
51,3,Baja California Sur,Tribuna,tribunacampeche.com,,
52,10,Durango,Contexto de Duranto,contextodedurango.com.mx,,
53,15,México,Toluca Noticias,tolucanoticias.com,,
54,15,México,Hoy Estado,hoyestado.com,,
55,1,Aguascalientes,Página 24,pagina24.com.mx,,
56,12,Guerrero,Enfoque Informativo,enfoqueinformativo.mx,,
57,18,Nayarit,El Sol de Nayarit,elsoldenayarit.mx,,
58,20,Oaxaca,ADN Sureste,adnsureste.info,,
59,22,Querétaro,Diario de Querétaro,diariodequeretaro.com.mx,,
60,22,Querétaro,ADN Informativo,adninformativo.mx,,
61,29,Tlaxcala,El Sol de Tlaxcala,elsoldetlaxcala.com.mx,,
62,30,Veracruz,60 Minutos,60minutos.info,,
63,3,Baja California Sur,BCS Noticias,bcsnoticias.mx,,
64,9,Ciudad de México,La Jornada,jornada.com.mx,,
65,20,Oaxaca,El Universal Oaxaca,oaxaca.eluniversal.com.mx,,
66,21,Puebla,Periódico Central,periodicocentral.mx,,
67,30,Veracruz,Notinfomex,notinfomex.mx,,
68,28,Tamaulipas,La Tarde de Reynosa,latarde.com.mx,,
69,1,Aguascalientes,El Heraldo de Aguascalientes,heraldo.mx,,
70,30,Veracruz,Noreste,noreste.net,,
70,30,Veracruz,Noreste,noreste.net,,
71,16,Michoacán,IM Noticias,ignaciomartinez.com.mx,,
72,25,Sinaloa,Alinstante Noticias,alinstantenoticias.com,,
73,12,Guerrero,Lo Real de Guerrero,lorealdeguerrero.com,,
74,16,Michoacán,La Z Noticias,laznoticias.info,,
75,25,Sinaloa,Viva la Noticia,vivalanoticia.mx,,
76,9,Ciudad de México,Proceso,proceso.com.mx,,
77,12,Guerrero,Vértice,verticediario.com,,
78,16,Michoacán,Mi Morelia.com,mimorelia.com,,
79,12,Guerrero,Quadratín Guerrero,guerrero.quadratin.com.mx,,
80,19,Nuevo León,Info 7,info7.mx,,
81,9,Ciudad de México,Sinembargo,sinembargo.mx,,
82,9,Ciudad de México,Animal Político,animalpolitico.com,,
83,5,Coahuila,Diario Basta,diariobasta.com,,
84,9,Ciudad de México,Canal 6,multimedios.com,,
85,14,Jalisco,Noticel,noticel.mx,,
86,14,Jalisco,Mural,mural.com,,
