id,name,code
1,Aguascalientes,1
2,Tijuana,2
3,Mexicali,3
4,La Laguna,4
5,Saltillo,5
6,Monclova-Frontera,6
7,Piedras Negras,7
8,Colima-Villa de Álvarez,8
9,Tecomán,9
10,Tuxtla Gutiérrez,10
11,Juárez,11
12,Chihuahua,12
13,Valle de México,13
14,León,14
15,San Francisco del Rincón,15
16,Moroleón-Uriangato,16
17,Acapulco,17
18,Pachuca,18
19,Tulancingo,19
20,Tula,20
21,Guadalajara,21
22,Puerto Vallarta,22
23,Ocotlán,23
24,Toluca,24
25,Morelia,25
26,Zamora-Jacona,26
27,La Piedad-Pénjamo,27
28,Cuernavaca,28
29,Cuautla,29
30,Tepic,30
31,Monterrey,31
32,Oaxaca,32
33,Tehuantepec,33
34,Puebla-Tlaxcala,34
35,Tehuacán,35
36,Querétaro,36
37,Cancún,37
38,San Luis Potosí - Soledad de Graciano Sánchez,38
39,Rioverde-Ciudad Fernández,39
40,Guaymas,40
41,Villahermosa,41
42,Tampico,42
43,Reynosa-Río Bravo,43
44,Matamoros,44
45,Nuevo Laredo,45
46,Tlaxcala-Apizaco,46
47,Veracruz,47
48,Xalapa,48
49,Poza Rica,49
50,Orizaba,50
51,Minatitlán,51
52,Coatzacoalcos,52
53,Córdoba,53
54,Acayucan,54
55,Mérida,55
56,Zacatecas-Guadalupe,56
57,Celaya,57
58,Tianguistenco,58
59,Teziutlán,59
