DATE,MUNICIPALITY,ORGANIZATION,TYPE
2020-01-11 00:00:00 UTC,Aguililla,La Nueva Familia Michoacana,Abatimiento en operativo
2020-01-11 00:00:00 UTC,Aguililla,La Nueva Familia Michoacana,Detención de alto perfil
2020-01-13 00:00:00 UTC,Churumuco,Cártel Jalisco Nueva Generación,Agresión a servidores públicos
2020-01-13 00:00:00 UTC,Churumuco,Los Viagra,Agresión a servidores públicos
2020-01-09 00:00:00 UTC,Epitacio Huerta,Cártel de Santa Rosa de Lima,Agresión a servidores públicos
2020-01-11 00:00:00 UTC,La Huacana,Cártel Jalisco Nueva Generación,Enfrentamiento con civiles
2020-01-11 00:00:00 UTC,La Huacana,Los Viagra,Enfrentamiento con civiles
2020-01-27 00:00:00 UTC,Tangamandapio,Cártel Jalisco Nueva Generación,Detención de alto perfil
2020-01-18 00:00:00 UTC,Tlazazalca,Cártel Jalisco Nueva Generación,Operativo de instituciones de seguridad
2020-01-31 00:00:00 UTC,Ziracuaretiro,Cártel Jalisco Nueva Generación,Detención de alto perfil
