Organización A,Organización B,Año,Relación que prevalece
Los Rusos (de Guerrero),Cártel de Caborca,2022,Conflicto
Cártel Jalisco Nueva Generación,Los Metros,2023,Alianza
Los Güeros,Los Rodolfos,2023,Alianza
Los Zetas Vieja Escuela,Cártel de Sinaloa,2023,Conflicto
Los Zetas Vieja Escuela,Los Metros,2023,Conflicto
Cártel Jalisco Nueva Generación,Los Viagra,2024,Alianza
Cártel de Los Arellano Félix,Cártel Jalisco Nueva Generación,2024,Conflicto
Cártel de Sinaloa,Cártel Jalisco Nueva Generación,2024,Conflicto
Cártel de Tepalcatepec,Cártel de la Virgen,2024,Conflicto
Cártel de Tepalcatepec,Los Blancos de Troya,2024,Conflicto
Los Caballeros Templarios,Cártel de Tepalcatepec,2024,Conflicto
Los Caballeros Templarios,Cártel de la Virgen,2024,Conflicto
Los Caballeros Templarios,Los Blancos de Troya,2024,Conflicto
Los Huistas,Cártel Jalisco Nueva Generación,2024,Conflicto
Los Huistas,Cártel de Sinaloa,2024,Conflicto
Los Rusos,Cártel Jalisco Nueva Generación,2024,Conflicto
Los Rusos,Cártel de Caborca,2024,Conflicto
Cártel Jalisco Nueva Generación,Cártel de Santa Rosa de Lima,2025,Conflicto
Cártel Jalisco Nueva Generación,La Barredora,2025,Alianza
Cártel Jalisco Nueva Generación,Los Escorpiones,2025,Conflicto
Cártel de Santa Rosa de Lima,Cártel de Sinaloa (Los Zambada),2025,Alianza
Cártel de Sinaloa (Los Guzmán),Cártel Jalisco Nueva Generación,2025,Alianza
Cártel de Sinaloa (Los Guzmán),Gente Nueva del Jaguar,2025,Conflicto
Cártel de Sinaloa (Los Guzmán),Los Deltas (Los Guzmán),2025,Conflicto
Cártel de Sinaloa (Los Guzmán),Los Gigios,2025,Conflicto
Cártel de Sinaloa (Los Guzmán),Los Paredes,2025,Conflicto
Cártel de Sinaloa (Los Guzmán),Los Tamales,2025,Conflicto
Cártel de Sinaloa (Los Zambada),Los Cabrera,2025,Alianza
Cártel del Golfo,Cártel Jalisco Nueva Generación,2025,Alianza
Guerreros Unidos,Los Tlacos,2025,Conflicto
Los Ciclones,Los Escorpiones,2025,Alianza
